date,SP500
,SPY
2006-02-27,96.1077835022
2006-02-28,95.1946549335
2006-03-01,96.0409609057
2006-03-02,96.0335416169
2006-03-03,95.588112576
2006-03-06,95.1501139596
2006-03-07,95.0016413246
2006-03-08,95.202085358
2006-03-09,94.5636375115
2006-03-10,95.4619096855
2006-03-13,95.6400839744
2006-03-14,96.6422826129
2006-03-15,97.0728611981
2006-03-16,97.2733052315
2006-03-17,97.3545699779
2006-03-20,97.1980580786
2006-03-21,96.586884221
2006-03-22,97.1756990229
2006-03-23,96.9744578322
2006-03-24,97.0489949743
2006-03-27,96.9073806651
2006-03-28,96.3111170682
2006-03-29,96.9148302055
2006-03-30,96.7434080455
2006-03-31,96.7657671013
2006-04-03,96.6912299592
2006-04-04,97.3098526118
2006-04-05,97.6452473913
2006-04-06,97.5409016532
2006-04-07,96.54961565
2006-04-10,96.6986899341
2006-04-11,95.8788260909
2006-04-12,96.0577089711
2006-04-13,95.9310049226
2006-04-17,95.8937363516
2006-04-18,97.4141976046
2006-04-19,97.6005292799
2006-04-20,97.7346940487
2006-04-21,97.7495923842
2006-04-24,97.5707214292
2006-04-25,97.1682383026
2006-04-26,97.1905973583
2006-04-27,97.6601569067
2006-04-28,97.9881021458
2006-05-01,97.1905973583
2006-05-02,97.921025724
2006-05-03,97.5558111685
2006-05-04,97.9061162087
2006-05-05,98.770697418
2006-05-08,98.6514429098
2006-05-09,98.8452233802
2006-05-10,98.7930564737
2006-05-11,97.6005292799
2006-05-12,96.3260265836
2006-05-15,96.5198077992
2006-05-16,96.3781942353
2006-05-17,94.5446905505
2006-05-18,94.0676822071
2006-05-19,94.7310222258
2006-05-22,94.0080545804
2006-05-23,93.2925416926
2006-05-24,94.0378683937
2006-05-25,95.2005817742
2006-05-26,95.6850456206
2006-05-30,93.9856955246
2006-05-31,95.0366091546
2006-06-01,95.945903258
2006-06-02,96.1471444486
2006-06-05,94.7459324865
2006-06-06,94.5148774825
2006-06-07,93.8068193524
2006-06-08,93.7248326699
2006-06-09,93.4267004988
2006-06-12,92.4130561852
2006-06-13,91.3397894622
2006-06-14,92.0478475923
2006-06-15,94.0006057853
2006-06-16,93.318981412
2006-06-19,92.5853033246
2006-06-20,92.8997340099
2006-06-21,93.5884947114
2006-06-22,93.1767360358
2006-06-23,93.1617653207
2006-06-26,93.5735187557
2006-06-27,92.7649833494
2006-06-28,93.3938447201
2006-06-29,95.2804355699
2006-06-30,95.2879235477
2006-07-03,95.6772235303
2006-07-05,95.130708205
2006-07-06,95.4077094823
2006-07-07,94.7863308489
2006-07-10,94.9660041359
2006-07-11,95.3852515379
2006-07-12,94.367089436
2006-07-13,92.8323586797
2006-07-14,92.4730053679
2006-07-17,92.3382479695
2006-07-18,92.8098999867
2006-07-19,94.097575388
2006-07-20,93.4537380617
2006-07-21,92.794924031
2006-07-24,94.4868701301
2006-07-25,94.8237654975
2006-07-26,94.9510341694
2006-07-27,94.861194157
2006-07-28,95.81198018
2006-07-31,95.7146521898
2006-08-01,95.2430061618
2006-08-02,95.8868442367
2006-08-03,96.1413815805
2006-08-04,95.97667826
2006-08-07,95.752087587
2006-08-08,95.3852515379
2006-08-09,95.0633321261
2006-08-10,95.3553048671
2006-08-11,95.0857908191
2006-08-14,95.1606548758
2006-08-15,96.2986029123
2006-08-16,97.0996503408
2006-08-17,97.3467056958
2006-08-18,97.8408156573
2006-08-21,97.4215749931
2006-08-22,97.4140810261
2006-08-23,97.1445677267
2006-08-24,97.0622156921
2006-08-25,97.1820023753
2006-08-28,97.6461604255
2006-08-29,97.7584643714
2006-08-30,97.818357713
2006-08-31,97.8033810087
2006-09-01,98.3873257421
2006-09-05,98.5744877555
2006-09-06,97.7060537671
2006-09-07,97.2568716726
2006-09-08,97.5338677093
2006-09-11,97.6311956996
2006-09-12,98.5894637112
2006-09-13,98.9862464311
2006-09-14,98.9937291684
2006-09-15,99.2253241925
2006-09-18,99.3606664448
2006-09-19,99.112527202
2006-09-20,99.6388793206
2006-09-21,99.1576410354
2006-09-22,98.8568716188
2006-09-25,99.616322028
2006-09-26,100.4434548422
2006-09-27,100.5637666694
2006-09-28,100.5261676725
2006-09-29,100.4434548422
2006-10-02,100.0674874319
2006-10-03,100.2780284298
2006-10-04,101.4510444941
2006-10-05,101.6465437878
2006-10-06,101.5187163722
2006-10-09,101.5788719098
2006-10-10,101.714226193
2006-10-11,101.5939143659
2006-10-12,102.4736766021
2006-10-13,102.7368583009
2006-10-16,102.8947578459
2006-10-17,102.5714318885
2006-10-18,102.7067741407
2006-10-19,102.8722013051
2006-10-20,102.8947578459
2006-10-23,103.3684805425
2006-10-24,103.6767768267
2006-10-25,104.0301869443
2006-10-26,104.3535136537
2006-10-27,103.6993341194
2006-10-30,103.6241361257
2006-10-31,103.6090936696
2006-11-01,102.9098003019
2006-11-02,102.8496440124
2006-11-03,102.6691751439
2006-11-06,103.827161535
2006-11-07,104.225686238
2006-11-08,104.45126894
2006-11-09,103.9023482497
2006-11-10,103.9474733621
2006-11-13,104.2031289453
2006-11-14,104.9851358952
2006-11-15,105.2859165909
2006-11-16,105.5566138783
2006-11-17,105.5866860075
2006-11-20,105.6468422971
2006-11-21,105.75211242
2006-11-22,105.9626534179
2006-11-24,105.5340565856
2006-11-27,104.0828163663
2006-11-28,104.5339817703
2006-11-29,105.6242850044
2006-11-30,105.6693995898
2006-12-01,105.4363012992
2006-12-04,106.2408655418
2006-12-05,106.6995465343
2006-12-06,106.6093181155
2006-12-07,106.1431222864
2006-12-08,106.3386208282
2006-12-11,106.6469171124
2006-12-12,106.5642035302
2006-12-13,106.6769892416
2006-12-14,107.6169077674
2006-12-15,107.6264204948
2006-12-18,107.3315336215
2006-12-19,107.5356896202
2006-12-20,107.4751983379
2006-12-21,107.0820118075
